run,ns
0,4098654
1,3942986
2,4033541
3,3912552
4,4125124
5,4200404
6,3960531
7,3877890
8,4060357
9,3814970
10,4054118
11,3903889
12,4123350
13,3877597
14,3883577
15,3906225
16,4168499
17,3950485
18,3967721
19,3980385
20,4134835
21,3958056
22,3993808
23,4114822
24,4223904
25,4083745
26,4180883
27,4011365
28,4695730
29,4095631
30,4001586
31,3989827
32,4019215
33,4133623
34,3979846
35,3936979
36,3943163
37,3812045
38,4060184
39,3848291
40,3864213
41,3929828
42,4109974
43,4091641
44,3777117
45,4455590
46,3992079
47,3902531
48,3925838
49,4103609
50,4193735
51,4111562
52,3947119
53,3900166
54,3860933
55,4206648
56,3984240
57,4117288
58,4162246
59,3881424
60,4219648
61,4046240
62,3807458
63,3845736
64,3971829
65,3991644
66,3924370
67,3933387
68,4019070
69,3987486
70,4013281
71,3871492
72,4003528
73,4489321
74,3787135
75,4055231
76,3874776
77,4046798
78,3994982
79,3864701
80,4096416
81,4115938
82,4032753
83,4022848
84,3885586
85,3808510
86,4002755
87,3964171
88,4351118
89,4019899
90,3922647
91,3999359
92,3899379
93,3938402
94,4041987
95,3907406
96,3869053
97,3943743
98,3923154
99,4002327
