run,ns
0,24619
1,26413
2,27126
3,31999
4,27026
5,30357
6,31998
7,29321
8,24877
9,25974
10,26305
11,29552
12,24654
13,26836
14,26371
15,27768
16,28465
17,26493
18,28992
19,27381
20,27462
21,27084
22,28853
23,26986
24,22246
25,23935
26,23154
27,26578
28,24226
29,28764
30,25133
31,28067
32,26510
33,25352
34,25397
35,29499
36,26936
37,25387
38,26231
39,34878
40,26763
41,27563
42,25957
43,24900
44,27361
45,28875
46,27042
47,24181
48,27603
49,23705
50,26633
51,28549
52,28008
53,28446
54,26585
55,27171
56,26642
57,28968
58,24341
59,30333
60,27769
61,25938
62,30095
63,27048
64,27893
65,27463
66,28819
67,32617
68,25467
69,29728
70,31245
71,29530
72,29262
73,26527
74,21212
75,27243
76,30409
77,23861
78,43430
79,26682
80,23661
81,23210
82,25049
83,27861
84,24561
85,26311
86,28882
87,29112
88,27681
89,24536
90,27604
91,27063
92,24721
93,20659
94,24116
95,35886
96,26979
97,24837
98,30032
99,26283
