run,ns
0,8167
1,8465
2,8388
3,7243
4,8280
5,8236
6,7594
7,7837
8,8049
9,7768
10,7966
11,7650
12,7749
13,8115
14,8045
15,8229
16,7557
17,7358
18,8132
19,7936
20,7786
21,7793
22,7959
23,8044
24,7933
25,7754
26,7514
27,7041
28,7937
29,8074
30,8019
31,7988
32,7939
33,7502
34,31320
35,7943
36,7620
37,7959
38,8062
39,7899
40,7447
41,8153
42,8148
43,8011
44,7696
45,8154
46,7717
47,7857
48,7883
49,7773
50,7964
51,8414
52,8155
53,8228
54,7449
55,7343
56,7239
57,8116
58,8501
59,7664
60,7791
61,7970
62,7647
63,8681
64,7950
65,8046
66,7904
67,7807
68,15348
69,8182
70,8235
71,7574
72,7510
73,7633
74,7510
75,7754
76,8177
77,7598
78,7471
79,8307
80,8021
81,8277
82,7544
83,8627
84,9376
85,8340
86,7873
87,8027
88,7994
89,7788
90,8318
91,8397
92,7528
93,8088
94,7668
95,7830
96,7572
97,7664
98,7842
99,7527
