run,ns
0,64929
1,65448
2,63008
3,64081
4,66005
5,65535
6,67404
7,61729
8,67033
9,64529
10,65088
11,81990
12,71314
13,63036
14,65899
15,64088
16,64323
17,59390
18,69723
19,66636
20,67113
21,59342
22,62871
23,62119
24,61480
25,64956
26,67474
27,65022
28,70140
29,65171
30,64649
31,66254
32,71928
33,67424
34,65172
35,64224
36,61028
37,63325
38,66919
39,64107
40,67706
41,62540
42,64029
43,71648
44,67796
45,61454
46,61004
47,68508
48,64968
49,63076
50,68412
51,67448
52,62196
53,61572
54,66933
55,72794
56,63847
57,63867
58,64581
59,66553
60,79590
61,63185
62,63830
63,94790
64,67688
65,61879
66,65000
67,58131
68,63158
69,61890
70,65712
71,63636
72,71890
73,103273
74,66575
75,59426
76,60413
77,67074
78,62186
79,69220
80,65693
81,62041
82,61716
83,104982
84,66192
85,65710
86,63891
87,84583
88,68778
89,59816
90,65435
91,67246
92,66349
93,59654
94,66554
95,69026
96,61925
97,97134
98,65790
99,67447
